Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.933728218,1.284233,-2.010315,-3.8544,1.004605,0.02357324,0.1390796,-44.41191,-19.81838,7.61744,957.082
0.943583488,0.04191487,-2.30786,-4.528733,0.998801,0.01475204,0.1362127,-44.41191,-19.81838,7.61744,957.0839
0.953438282,-0.1444329,-2.724423,-4.773945,0.9949901,-0.004294233,0.1270014,-44.41191,-19.81838,7.61744,957.0839
0.963292599,0.2903785,-3.498039,-4.46743,0.9897547,-0.01211198,0.1308437,-44.41191,-19.81838,7.61744,957.0839
0.973147392,1.03577,-3.617057,-4.038309,0.9901651,-0.003830276,0.1323453,-44.41267,-20.19188,7.237127,957.0839
0.983001709,3.271943,-3.736075,-4.160915,0.9927825,-0.01498892,0.135089,-44.41267,-20.19188,7.237127,957.0797
0.992856503,5.321767,-3.557548,-4.222218,0.9964538,-0.002329436,0.1284347,-44.41267,-20.19188,7.237127,957.0797
1.002711296,6.50197,-3.557548,-4.344824,0.9886089,0.001990181,0.130979,-44.41267,-20.19188,7.237127,957.0797
1.015029907,6.005043,-3.736075,-3.425279,0.9874508,0.01657707,0.1306394,-44.41267,-20.19188,7.237127,957.0811
1.024884224,4.141565,-4.152637,-2.62834,0.9883633,0.02926085,0.1369631,-44.78163,-20.55036,7.626913,957.0811
1.034739017,1.470581,-4.628708,-1.647493,0.9933395,0.02542241,0.139735,-44.78163,-20.55036,7.626913,957.0811
1.044593334,-0.6413602,-4.50969,-0.8505535,0.9997317,0.02207046,0.1391363,-44.78163,-20.55036,7.626913,957.0811
1.054448128,-0.5792443,-4.50969,-1.095766,0.9911064,-0.002367502,0.1309066,-44.78163,-20.55036,7.626913,957.0804
1.064302921,2.029624,-5.164289,-1.58619,1.000586,-0.02517904,0.1243494,-44.78163,-20.55036,7.626913,957.0804
1.074157238,5.632347,-5.521342,-2.505734,1.003268,-0.04510723,0.124143,-44.03342,-20.1855,8.003362,957.0804
1.084012032,9.85623,-6.175941,-2.567038,1.005626,-0.04706358,0.1159465,-44.03342,-20.1855,8.003362,957.0804
1.093867302,12.03029,-6.652012,-1.954008,1.016093,0.0046994,0.139715,-44.03342,-20.1855,8.003362,957.0818
1.103721619,8.613912,-6.23545,-1.157069,1.010461,0.04070898,0.1530375,-44.03342,-20.1855,8.003362,957.0818
1.113576412,4.390029,-6.116432,0.007688423,1.006715,0.06451005,0.1504166,-44.03342,-20.1855,8.003362,957.0818
1.123431206,-0.3307806,-5.878396,0.9272334,1.017447,0.07240857,0.1551223,-44.03417,-20.559,7.623049,957.0818
1.133285522,-4.927359,-5.342815,1.049839,1.018942,0.06461766,0.1502432,-44.03417,-20.559,7.623049,957.0818
1.143140316,-8.157386,-4.866744,0.9885363,1.012338,0.03582143,0.1429063,-44.03417,-20.559,7.623049,957.0833
1.152994633,-8.405849,-4.926253,0.5594154,1.008671,0.00851632,0.1369778,-44.03417,-20.559,7.623049,957.0833
1.162849426,-6.72872,-4.5692,0.1915974,1.006545,-0.01729014,0.1377487,-44.03417,-20.559,7.623049,957.0833
1.172704220,-3.933504,-4.093128,0.1302944,1.006548,-0.02851858,0.1280699,-44.41267,-20.19188,7.237127,957.0833
1.185022831,0.8494217,-3.914601,-0.3601296,1.002238,-0.03634257,0.1280653,-44.41267,-20.19188,7.237127,957.0822
1.194877148,5.570231,-3.97411,-1.279675,0.9982122,-0.02957419,0.1257838,-44.41267,-20.19188,7.237127,957.0822
1.204731941,8.862375,-4.212146,-1.954008,1.004946,-0.013923,0.1310911,-44.41267,-20.19188,7.237127,957.0822
1.214586258,10.53951,-4.033619,-1.892705,1.007216,0.008018686,0.1374735,-44.41267,-20.19188,7.237127,957.0836
1.224441528,10.10469,-4.152637,-1.708796,1.014424,0.02659922,0.1442364,-44.03267,-19.81201,8.383674,957.0836
1.234296322,7.620056,-3.914601,-1.402281,1.020249,0.04519099,0.1572486,-44.03267,-19.81201,8.383674,957.0836
1.244151115,3.76887,-3.557548,-1.034463,1.022065,0.05542079,0.1558715,-44.03267,-19.81201,8.383674,957.0836
1.254005432,-1.138287,-3.081476,-0.7892506,1.017708,0.0597891,0.1631584,-44.03267,-19.81201,8.383674,957.0793
1.263860226,-5.113706,-2.605405,-0.2988266,1.018289,0.04663722,0.1582472,-44.03267,-19.81201,8.383674,957.0793
1.273714542,-6.915068,-1.77228,0.06899142,1.026801,0.01796142,0.1473415,-43.34348,-20.55622,8.387673,957.0793
1.283569336,-5.610633,-0.8796456,0.007688423,1.017172,-0.01479226,0.1299511,-43.34348,-20.55622,8.387673,957.0793
1.293424130,-1.883678,-0.2250474,-0.3601296,1.006225,-0.04312209,0.127472,-43.34348,-20.55622,8.387673,957.0786
1.303278446,4.514261,-0.6416099,-1.034463,1.004333,-0.04800323,0.127937,-43.34348,-20.55622,8.387673,957.0786
1.313133717,8.924491,-0.9391546,-1.157069,1.006137,-0.03240623,0.1304389,-43.34348,-20.55622,8.387673,957.0786
1.322988510,13.02414,-0.6416099,-1.218372,1.01486,-0.008428846,0.1453721,-44.02866,-20.54831,8.391214,957.0786
1.332842827,11.09855,-0.3440652,-0.9118565,1.011963,0.04219649,0.1568623,-44.02866,-20.54831,8.391214,957.0786
1.342697620,6.688318,-0.1655384,-0.2375236,1.015296,0.05147718,0.1583307,-44.02866,-20.54831,8.391214,957.0797
1.355016232,2.029624,0.5485688,0.8659304,1.021617,0.04419918,0.1490744,-44.02866,-20.54831,8.391214,957.0797
1.364871025,-1.076172,1.738747,0.6207184,1.009823,0.03675635,0.1386373,-44.02866,-20.54831,8.391214,957.0797
1.374725342,-3.188113,1.322185,0.3142034,0.9908657,0.01514004,0.1286618,-43.65894,-19.81633,8.381742,957.0806
1.384580135,-2.691185,-0.2250474,0.4981124,0.991188,-0.008691163,0.1313313,-43.65894,-19.81633,8.381742,957.0806
1.394434452,-1.324635,-0.8201367,0.8659304,1.013434,-0.01575343,0.1419763,-43.65894,-19.81633,8.381742,957.0806
1.404289246,-0.5792443,-0.2250474,1.417657,1.024697,-0.01027979,0.1476123,-43.65894,-19.81633,8.381742,957.0806
1.414144039,-0.1444329,0.8461134,2.030687,1.021023,0.00524202,0.1430037,-43.65894,-19.81633,8.381742,957.0781
1.423998356,-0.2686647,1.322185,2.70502,1.006119,0.01969353,0.1390253,-43.34549,-20.18807,8.383904,957.0781
1.433853626,-0.5171283,0.9056224,3.011535,1.000965,0.03080465,0.1296085,-43.34549,-20.18807,8.383904,957.0781
1.443708420,-0.7034761,0.5485688,3.011535,1.007308,0.02939159,0.1271102,-43.34549,-20.18807,8.383904,957.0781
1.453562737,-1.883678,0.1915152,3.134141,1.017584,0.03729509,0.1342184,-43.34549,-20.18807,8.383904,957.079
1.463417530,-3.747156,0.4295509,3.563262,1.020939,0.03974697,0.1313161,-43.34549,-20.18807,8.383904,957.079
1.473272324,-6.107561,0.5485688,3.685868,1.020983,0.0387831,0.1337033,-44.03267,-19.81201,8.383674,957.079
1.483126640,-7.971038,0.4295509,3.869777,1.021582,0.03344804,0.1370042,-44.03267,-19.81201,8.383674,957.079
1.492981434,-8.592197,0.5485688,3.624565,1.020709,0.02565789,0.1379092,-44.03267,-19.81201,8.383674,957.0799
1.502835751,-7.971038,0.5485688,3.134141,1.015905,0.009528049,0.1301744,-44.03267,-19.81201,8.383674,957.0799
1.512691021,-6.045445,0.370042,2.337202,1.010655,0.0007297169,0.1320918,-44.03267,-19.81201,8.383674,957.0799
1.525009155,-3.001765,0.2510241,1.356354,1.005781,-0.005167122,0.1282779,-44.03267,-19.81201,8.383674,957.0799
1.534863949,-1.262519,0.2510241,1.049839,1.000738,0.001581506,0.1231355,-44.03267,-19.81201,8.383674,957.0805
1.544719219,-0.3307806,-0.2250474,0.6207184,1.002141,0.01085241,0.1265482,-44.03267,-19.81201,8.383674,957.0805
1.554573536,-0.4550124,-0.3440652,0.4981124,1.002566,0.02060313,0.130458,-44.03267,-19.81201,8.383674,957.0805
1.564428329,-1.324635,-0.04652058,0.1915974,0.9940624,0.03316985,0.12781,-44.03267,-19.81201,8.383674,957.0805
1.574282646,-3.001765,0.2510241,-0.05361458,0.9960868,0.03515938,0.1345068,-44.03066,-20.18016,8.387444,957.0832
1.584137440,-4.616779,-0.04652058,0.06899142,0.9965743,0.02979275,0.1296625,-44.03066,-20.18016,8.387444,957.0832
1.593992233,-5.548518,0.1320062,0.007688423,0.9903167,0.01853621,0.1272607,-44.03066,-20.18016,8.387444,957.0832
1.603846550,-4.989474,-0.4035742,0.007688423,0.9984189,0.003549003,0.1342068,-44.03066,-20.18016,8.387444,957.0832
1.613701343,-3.312345,-0.5225921,-0.2375236,1.012331,-0.01628576,0.1324035,-44.03066,-20.18016,8.387444,957.0819
1.623556614,-0.3307806,-0.4035742,-0.4827355,1.021345,-0.03225979,0.1335778,-44.03342,-20.1855,8.003362,957.0819
1.633411407,2.961363,0.1320062,-0.8505535,1.020343,-0.03520458,0.1292544,-44.03342,-20.1855,8.003362,957.0819
1.643265724,5.818695,0.5485688,-1.095766,1.004924,-0.02467043,0.1199791,-44.03342,-20.1855,8.003362,957.0819
1.653120518,7.682172,0.5485688,-1.340978,0.9936348,-0.02087495,0.1206512,-44.03342,-20.1855,8.003362,957.0846
1.662974834,8.738143,-0.04652058,-1.770099,0.9921379,-0.01454935,0.1240803,-44.03342,-20.1855,8.003362,957.0846
1.672829628,8.80026,-0.7011189,-1.524887,0.9956086,-0.009135288,0.132223,-43.71722,-20.5519,8.389606,957.0846
1.682684421,8.427564,-0.8796456,-1.034463,0.9980896,-0.002756683,0.1403878,-43.71722,-20.5519,8.389606,957.0846
1.695002556,6.564086,-0.9391546,0.06899142,1.003856,0.02021243,0.1529587,-43.71722,-20.5519,8.389606,957.0854
1.704857349,4.141565,-0.8201367,0.8046274,1.013107,0.02272339,0.1518896,-43.71722,-20.5519,8.389606,957.0854
1.714712143,2.40232,-0.5225921,1.601566,1.017197,0.01499671,0.1579957,-43.71722,-20.5519,8.389606,957.0854
1.724566460,1.967508,-0.1655384,2.153293,1.014759,0.007165798,0.1517348,-43.34549,-20.18807,8.383904,957.0854
1.734421730,1.905392,0.310533,2.09199,1.003449,0.005096343,0.1456489,-43.34549,-20.18807,8.383904,957.0842
1.744276524,2.588667,0.01298836,1.969384,1.003956,0.008523407,0.1499834,-43.34549,-20.18807,8.383904,957.0842
1.754131317,2.464436,-0.1060295,1.908081,1.008383,0.01638082,0.1586122,-43.34549,-20.18807,8.383904,957.0842
1.763985634,1.967508,-0.1655384,1.846778,1.01502,0.02419292,0.1499579,-43.34549,-20.18807,8.383904,957.0842
1.773840427,1.284233,0.7866045,1.846778,1.012084,0.0314899,0.156291,-44.03066,-20.18016,8.387444,957.0865
1.783694744,0.7251899,1.61973,1.356354,1.01257,0.02075235,0.1466094,-44.03066,-20.18016,8.387444,957.0865
1.793549538,0.9736536,1.857765,0.7433244,1.000118,0.02302193,0.1324301,-44.03066,-20.18016,8.387444,957.0865
1.803404808,1.532697,1.381694,-0.05361458,1.000701,0.01621785,0.1333227,-44.03066,-20.18016,8.387444,957.0865
1.813259602,1.160001,1.084149,-0.05361458,1.001241,0.01574857,0.1366655,-44.03066,-20.18016,8.387444,957.0836
1.823113918,0.4767263,0.7866045,-0.1762206,1.000816,0.01918002,0.1443677,-44.03066,-20.18016,8.387444,957.0836
1.832968712,-0.6413602,1.143658,0.4981124,1.009578,0.02168668,0.1433056,-44.03066,-20.18016,8.387444,957.0836
1.842823029,-1.138287,1.61973,0.7433244,1.009972,0.02361687,0.1380451,-44.03066,-20.18016,8.387444,957.0836
1.852677822,-1.759447,1.61973,0.6207184,0.9965908,0.01905647,0.1214253,-44.03066,-20.18016,8.387444,957.0823
1.864996433,-1.573099,1.02464,0.3755064,0.9938486,0.008344482,0.126166,-44.03066,-20.18016,8.387444,957.0823
1.874851227,-1.138287,0.1915152,0.1915974,0.9988891,0.004036171,0.1332458,-44.03267,-19.81201,8.383674,957.0823
1.884705543,-0.5171283,0.1915152,-0.2988266,1.007826,-0.00707765,0.1330246,-44.03267,-19.81201,8.383674,957.0823
1.894560337,0.4767263,0.370042,-0.4214326,1.00882,-0.005111587,0.1359022,-44.03267,-19.81201,8.383674,957.085
1.904415607,1.719045,0.6080777,-0.7279475,1.008724,-0.008556627,0.1258113,-44.03267,-19.81201,8.383674,957.085
1.914269924,2.650783,0.6675866,-0.8505535,0.9989454,-0.006200541,0.1283666,-44.03267,-19.81201,8.383674,957.085
1.924124718,3.396174,0.07249729,-0.6666446,1.003364,0.0006781464,0.1355496,-44.09019,-20.17409,8.771849,957.085
1.933979511,3.085595,-0.4630831,-0.4214326,1.001984,0.007037171,0.147603,-44.09019,-20.17409,8.771849,957.0854
1.943833828,1.594813,-0.1060295,-0.4214326,1.004983,0.006104696,0.151386,-44.09019,-20.17409,8.771849,957.0854
1.953688622,0.3524944,0.6080777,-0.2988266,1.011182,0.008556411,0.1417343,-44.09019,-20.17409,8.771849,957.0854
1.963542938,0.663074,1.262676,-0.1762206,1.005884,-0.006114284,0.1349772,-44.09019,-20.17409,8.771849,957.0854
1.973398209,1.222117,1.560221,-0.2375236,0.9980243,-0.01156337,0.1278553,-44.09571,-20.18478,8.003683,957.0859
